iter	Passed	Remaining
790	6166	5527
791	6173	5518
792	6180	5510
793	6187	5501
794	6195	5494
795	6203	5486
796	6210	5478
797	6217	5469
798	6224	5460
799	6231	5452
800	6238	5444
801	6245	5435
802	6252	5426
803	6259	5418
804	6266	5409
805	6273	5401
806	6280	5393
807	6288	5385
808	6294	5376
809	6301	5368
810	6309	5360
811	6317	5352
812	6324	5344
813	6331	5336
814	6338	5327
815	6346	5319
816	6354	5312
817	6362	5304
818	6369	5296
819	6377	5289
820	6385	5281
821	6394	5274
822	6402	5266
823	6409	5258
824	6417	5250
825	6425	5242
826	6433	5235
827	6441	5228
828	6448	5219
829	6457	5212
830	6464	5204
831	6473	5197
832	6480	5188
833	6487	5180
834	6494	5172
835	6502	5164
836	6509	5156
837	6516	5148
838	6523	5139
839	6531	5131
840	6539	5124
841	6546	5116
842	6554	5107
843	6561	5099
844	6568	5091
845	6575	5083
846	6582	5074
847	6589	5066
848	6596	5058
849	6603	5049
850	6610	5041
851	6618	5033
852	6625	5025
853	6632	5017
854	6640	5009
855	6647	5001
856	6654	4993
857	6661	4984
858	6668	4976
859	6675	4967
860	6683	4959
861	6689	4951
862	6696	4943
863	6703	4934
864	6710	4926
865	6733	4929
866	6748	4926
867	6760	4922
868	6772	4917
869	6781	4910
870	6789	4903
871	6796	4894
872	6804	4886
873	6811	4878
874	6818	4870
875	6825	4862
876	6832	4853
877	6840	4845
878	6847	4837
879	6855	4829
880	6863	4822
881	6870	4814
882	6877	4805
883	6884	4797
884	6891	4788
885	6898	4780
886	6905	4772
887	6913	4764
888	6921	4756
889	6928	4748
890	6935	4740
891	6943	4732
892	6950	4724
893	6957	4716
894	6965	4708
895	6972	4700
896	6979	4691
897	6987	4684
898	6994	4676
899	7001	4667
900	7009	4659
901	7016	4651
902	7023	4643
903	7030	4635
904	7037	4627
905	7045	4618
906	7052	4611
907	7060	4603
908	7067	4595
909	7075	4587
910	7082	4579
911	7090	4571
912	7097	4563
913	7106	4555
914	7113	4547
